combined_fips,votes_dem_2020,votes_gop_2020,total_votes_2020,per_dem_2020,per_gop_2020,diff_2020,per_point_diff_2020,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_point_diff_2016,county_name,total_votes_2012,votes_dem_2012,votes_gop_2012,per_dem_2012,per_gop_2012,diff_2012,per_point_diff_2012
12021,77621,128950,207818,0.373504701,0.620494856,51329,0.246990155,60941,105297,170505,0.357414739,0.617559602,44356,-0.260144864,Collier County,149080,51678,96508,0.346646096,0.647357124,44830,-0.300711028
12023,8914,23836,33042,0.269777858,0.721384904,14922,0.451607046,7599,20359,28696,0.264810427,0.709471703,12760,-0.444661277,Columbia County,27163,8462,18429,0.311526709,0.678459669,9967,-0.36693296
12027,4259,8313,12659,0.336440477,0.656686942,4054,0.320246465,3761,6744,10761,0.349502834,0.626707555,2983,-0.277204721,DeSoto County,9863,4174,5587,0.42319781,0.566460509,1413,-0.143262699
12029,1365,6759,8167,0.167136035,0.827598874,5394,0.660462838,1270,5822,7202,0.176339906,0.808386559,4552,-0.632046654,Dixie County,6941,1798,5052,0.259040484,0.727849013,3254,-0.468808529
12031,252556,233762,492820,0.512471085,0.474335457,18794,0.038135628,203627,210061,428734,0.474949502,0.489956477,6434,-0.015006974,Duval County,411702,196657,211553,0.477668313,0.513849823,14896,-0.03618151
12033,70929,96674,170372,0.416318409,0.56742892,25745,0.151110511,57114,88370,151609,0.37671906,0.582880964,31256,-0.206161903,Escambia County,148430,58154,88671,0.391794112,0.59739271,30517,-0.205598599
12035,28161,43043,71716,0.39267388,0.600186848,14882,0.207512968,21985,33804,57413,0.382927212,0.588786512,11819,-0.2058593,Flagler County,50589,23204,26966,0.458676787,0.53304078,3762,-0.074363992
12037,2120,4675,6849,0.309534239,0.682581399,2555,0.37304716,1738,4119,6003,0.289521906,0.686156922,2381,-0.396635016,Franklin County,5474,1845,3570,0.337047863,0.652173913,1725,-0.31512605
12039,16153,7465,23762,0.679782847,0.314157057,8688,0.365625789,14994,6721,22079,0.679106844,0.304406902,8273,0.374699941,Gadsden County,22495,15768,6628,0.700955768,0.294643254,9140,0.406312514
12041,1700,7895,9685,0.175529169,0.81517811,6195,0.639648942,1457,6740,8418,0.173081492,0.800665241,5283,-0.627583749,Gilchrist County,7908,1885,5917,0.238366211,0.748229641,4032,-0.509863429
